city, pop_tot , pop_fb ,pop_fb_share,natrate,lsnblaborforceparticrate,lsfblaborforceparticrate,hsnblaborforceparticrate,hsfblaborforceparticrate,lsnbemplrate,lsfbemplrate,hsnbemplrate,hsfbemplrate,lsnbhighprestigerate,lsfbhighprestigerate,hsnbhighprestigerate,hsfbhighprestigerate,lsnbparttimerate,lsfbparttimerate,hsnbparttimerate,hsfbparttimerate,nbentrepreneurshiprate,fbentrepreneurshiprate,lsnbpovertyrate,lsfbpovertyrate,hsnbpovertyrate,hsfbpovertyrate,lsnbtrirecipient,lsfbtrirecipient,hsnbtrirecipient,hsfbtrirecipient,lsnbfoodstamprecipient,lsfbfoodstamprecipient,hsnbfoodstamprecipient,hsfbfoodstamprecipient,nbownershiprate,fbownershiprate,nboverburdenrate,fboverburdenrate,nbovercrowdedrate,fbovercrowdedrate,nbhealthinsu,fbhealthinsu,nbhs,fbhs,nbba,fbba,nbadv,fbadv,nbpubsoc,fbpubsoc,nbmilitaryvet,fbmilitaryvet, lsnbmediantotinc , lsfbmediantotinc , hsnbmediantotinc , hsfbmediantotinc , nbmedianbusinessincome , fbmedianbusinessincome , overall_score , overall_ranking , policy_score ,gov_leadership,econ_empower,Inclusivity,Community,legal_support,emergency_management,se_score,job_opps,econ_prosperity,Livability,civic_particip
"Albuquerque city, NM",557473.00,53833.00,0.10,0.69,0.58,0.65,0.71,0.72,0.93,0.95,0.97,0.94,0.06,0.03,0.33,0.41,0.26,0.24,0.17,0.18,0.08,0.12,0.19,0.26,0.06,0.11,0.38,0.27,0.09,0.12,0.20,0.26,0.06,0.11,0.61,0.55,0.43,0.41,0.01,0.02,0.94,0.73,0.93,0.68,0.37,0.27,0.16,0.15,0.08,0.04,0.12,0.02,17046.00,15272.00,49748.00,37769.00,21307.00,19177.00,3.54,21.00,4.33,5.00,5.00,4.00,5.00,2.00,5.00,2.75,2.00,3.00,3.00,3.00
"Anaheim city, CA",349956.00,125021.00,0.36,0.74,0.63,0.65,0.79,0.72,0.94,0.96,0.96,0.97,0.05,0.02,0.26,0.36,0.27,0.18,0.18,0.14,0.07,0.11,0.14,0.16,0.05,0.09,0.40,0.27,0.08,0.14,0.10,0.15,0.03,0.05,0.52,0.40,0.51,0.54,0.03,0.09,0.94,0.79,0.91,0.64,0.30,0.23,0.09,0.06,0.04,0.03,0.06,0.01,17482.00,17898.00,53268.00,45785.00,26978.00,20362.00,3.67,17.00,3.83,3.00,4.00,4.00,3.00,4.00,5.00,3.50,5.00,3.00,2.00,4.00
"Anchorage municipality, AK",293597.00,31854.00,0.11,0.83,0.69,0.69,0.77,0.76,0.91,0.95,0.99,0.99,0.06,0.05,0.35,0.25,0.22,0.26,0.13,0.13,0.08,0.09,0.12,0.17,0.04,0.03,0.28,0.26,0.05,0.05,0.12,0.17,0.02,0.01,0.62,0.64,0.40,0.43,0.01,0.06,0.89,0.86,0.95,0.82,0.38,0.28,0.15,0.08,0.13,0.08,0.19,0.07,25453.00,25453.00,68183.00,46617.00,34417.00,32373.00,2.96,50.00,2.17,1.00,2.00,1.00,3.00,2.00,4.00,3.75,2.00,3.00,5.00,5.00
"Arlington city, TX",401886.00,82554.00,0.21,0.79,0.65,0.69,0.79,0.75,0.94,0.97,0.98,0.95,0.04,0.03,0.27,0.31,0.23,0.16,0.12,0.16,0.07,0.11,0.13,0.20,0.04,0.15,0.24,0.11,0.03,0.05,0.13,0.16,0.03,0.11,0.57,0.51,0.37,0.46,0.01,0.03,0.87,0.62,0.92,0.65,0.31,0.24,0.10,0.08,0.05,0.02,0.09,0.02,20500.00,18326.00,55000.00,32373.00,26073.00,23417.00,1.71,98.00,1.67,1.00,1.00,2.00,1.00,3.00,2.00,1.75,2.00,1.00,1.00,3.00
"Atlanta city, GA",476419.00,38177.00,0.08,0.71,0.53,0.58,0.83,0.79,0.88,0.92,0.98,0.97,0.04,0.05,0.28,0.38,0.29,0.19,0.11,0.12,0.10,0.10,0.29,0.26,0.06,0.13,0.32,0.07,0.03,0.02,0.26,0.12,0.03,0.02,0.43,0.39,0.39,0.37,0.01,0.03,0.89,0.82,0.92,0.89,0.50,0.64,0.21,0.35,0.06,0.04,0.06,0.02,12000.00,12515.00,61291.00,53268.00,30896.00,21582.00,4.08,8.00,3.67,3.00,3.00,2.00,4.00,5.00,5.00,4.50,4.00,5.00,5.00,4.00
"Aurora city, CO",362547.00,71125.00,0.20,0.71,0.68,0.71,0.77,0.76,0.94,0.96,0.97,0.98,0.05,0.02,0.25,0.30,0.21,0.17,0.15,0.16,0.08,0.11,0.10,0.17,0.04,0.12,0.33,0.23,0.07,0.15,0.10,0.15,0.03,0.10,0.64,0.49,0.45,0.57,0.01,0.03,0.93,0.69,0.94,0.67,0.33,0.21,0.10,0.08,0.06,0.02,0.12,0.02,24930.00,21582.00,50906.00,37546.00,22945.00,29830.00,3.25,36.00,4.50,5.00,4.00,5.00,5.00,3.00,5.00,2.00,4.00,1.00,1.00,2.00
"Austin city, TX",947038.00,173872.00,0.18,0.67,0.65,0.71,0.83,0.78,0.94,0.97,0.98,0.97,0.06,0.02,0.25,0.33,0.25,0.17,0.13,0.14,0.11,0.11,0.17,0.20,0.05,0.08,0.21,0.14,0.02,0.03,0.11,0.19,0.02,0.04,0.48,0.39,0.38,0.41,0.01,0.04,0.90,0.69,0.94,0.73,0.55,0.40,0.19,0.20,0.08,0.03,0.07,0.02,19816.00,18530.00,56006.00,50140.00,30755.00,26000.00,2.92,54.00,3.33,4.00,2.00,3.00,3.00,5.00,3.00,2.50,2.00,3.00,2.00,3.00
"Bakersfield city, CA",371375.00,74748.00,0.20,0.59,0.59,0.63,0.76,0.73,0.89,0.92,0.97,0.96,0.04,0.01,0.29,0.39,0.24,0.14,0.13,0.10,0.08,0.13,0.20,0.22,0.04,0.06,0.47,0.43,0.09,0.16,0.19,0.22,0.04,0.06,0.59,0.54,0.43,0.43,0.02,0.04,0.95,0.82,0.87,0.53,0.21,0.16,0.07,0.05,0.07,0.03,0.07,0.01,14661.00,16187.00,62000.00,50000.00,25030.00,30544.00,2.79,61.00,2.33,1.00,3.00,4.00,1.00,3.00,2.00,3.25,5.00,4.00,3.00,1.00
"Baltimore city, MD",609040.00,48727.00,0.08,0.69,0.53,0.63,0.82,0.77,0.88,0.94,0.98,0.97,0.04,0.03,0.30,0.40,0.23,0.21,0.12,0.13,0.06,0.07,0.26,0.21,0.07,0.12,0.45,0.26,0.08,0.08,0.32,0.23,0.07,0.05,0.48,0.42,0.40,0.39,0.01,0.02,0.94,0.78,0.85,0.80,0.30,0.43,0.14,0.24,0.10,0.05,0.08,0.02,15272.00,18043.00,55800.00,45368.00,25899.00,26471.00,4.25,5.00,4.00,5.00,4.00,4.00,3.00,5.00,3.00,4.50,5.00,5.00,5.00,3.00
"Baton Rouge city, LA",225102.00,12742.00,0.06,0.65,0.61,0.65,0.75,0.74,0.90,0.96,0.98,0.99,0.04,0.02,0.31,0.46,0.27,0.22,0.13,0.28,0.08,0.15,0.24,0.25,0.06,0.06,0.34,0.15,0.07,0.05,0.22,0.10,0.06,0.04,0.55,0.46,0.46,0.27,0.01,0.02,0.92,0.66,0.90,0.80,0.34,0.39,0.13,0.20,0.08,0.03,0.08,0.02,14300.00,15644.00,49643.00,30245.00,26634.00,25000.00,2.38,85.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.75,5.00,5.00,4.00,1.00
"Boise City city, ID",225665.00,13685.00,0.06,0.72,0.64,0.66,0.75,0.75,0.95,0.93,0.97,1.00,0.05,0.03,0.31,0.39,0.25,0.22,0.18,0.16,0.12,0.09,0.14,0.27,0.05,0.11,0.19,0.17,0.04,0.05,0.11,0.16,0.02,0.09,0.64,0.54,0.40,0.44,0.00,0.02,0.91,0.78,0.96,0.80,0.38,0.36,0.13,0.18,0.07,0.04,0.11,0.02,20362.00,18773.00,48870.00,45811.00,26978.00,31961.00,2.63,72.00,2.50,3.00,1.00,3.00,3.00,2.00,3.00,2.75,2.00,3.00,3.00,3.00
"Boston city, MA",684090.00,196317.00,0.29,0.74,0.58,0.62,0.85,0.74,0.88,0.93,0.97,0.96,0.04,0.03,0.30,0.36,0.37,0.29,0.11,0.15,0.05,0.07,0.27,0.25,0.07,0.18,0.44,0.48,0.07,0.15,0.23,0.29,0.03,0.09,0.38,0.29,0.41,0.48,0.01,0.02,0.97,0.94,0.93,0.76,0.58,0.34,0.25,0.18,0.07,0.03,0.05,0.01,11199.00,15755.00,64746.00,42761.00,26978.00,25000.00,3.21,39.00,4.17,5.00,4.00,3.00,5.00,5.00,3.00,2.25,2.00,2.00,2.00,3.00
"Buffalo city, NY",256513.00,26978.00,0.11,0.76,0.54,0.53,0.79,0.69,0.91,0.93,0.97,0.95,0.04,0.02,0.22,0.29,0.31,0.32,0.15,0.20,0.05,0.06,0.33,0.45,0.10,0.23,0.53,0.66,0.14,0.27,0.38,0.45,0.10,0.20,0.41,0.36,0.43,0.45,0.01,0.04,0.95,0.93,0.87,0.68,0.28,0.27,0.11,0.12,0.07,0.03,0.07,0.02,14601.00,9800.00,43803.00,26438.00,20362.00,20395.00,3.67,17.00,4.83,5.00,5.00,5.00,5.00,4.00,5.00,2.50,1.00,1.00,4.00,4.00
"Chandler city, AZ",253729.00,37518.00,0.15,0.72,0.62,0.61,0.76,0.76,0.95,0.97,0.98,0.97,0.06,0.03,0.28,0.38,0.23,0.22,0.12,0.09,0.08,0.10,0.09,0.15,0.04,0.05,0.19,0.19,0.04,0.05,0.07,0.10,0.02,0.01,0.65,0.64,0.35,0.35,0.01,0.01,0.94,0.86,0.96,0.81,0.42,0.46,0.14,0.24,0.05,0.03,0.10,0.03,23012.00,18000.00,55996.00,61000.00,26978.00,22160.00,2.96,50.00,2.17,1.00,1.00,1.00,3.00,3.00,4.00,3.75,4.00,3.00,5.00,3.00
"Charlotte city, NC",853971.00,134173.00,0.16,0.73,0.63,0.70,0.82,0.76,0.92,0.95,0.98,0.97,0.05,0.02,0.24,0.28,0.26,0.17,0.12,0.09,0.08,0.10,0.17,0.22,0.03,0.07,0.28,0.12,0.03,0.03,0.16,0.16,0.03,0.05,0.55,0.44,0.37,0.36,0.00,0.02,0.92,0.65,0.94,0.70,0.47,0.35,0.16,0.15,0.04,0.02,0.08,0.01,17579.00,19177.00,54653.00,45000.00,26073.00,25030.00,3.25,36.00,3.50,5.00,4.00,1.00,5.00,3.00,3.00,3.00,3.00,4.00,2.00,3.00
"Chesapeake city, VA",240142.00,15183.00,0.06,0.85,0.60,0.68,0.80,0.76,0.94,0.97,0.97,0.98,0.07,0.07,0.26,0.28,0.22,0.19,0.13,0.15,0.06,0.11,0.10,0.16,0.02,0.03,0.19,0.10,0.03,0.04,0.10,0.11,0.02,0.05,0.71,0.66,0.42,0.53,0.00,0.03,0.93,0.77,0.93,0.84,0.33,0.37,0.12,0.12,0.10,0.06,0.20,0.12,22000.00,21000.00,59051.00,40725.00,26634.00,34639.00,2.67,66.00,1.33,1.00,1.00,3.00,1.00,1.00,1.00,4.00,5.00,4.00,2.00,5.00
"Chicago city, IL",2707692.00,554271.00,0.21,0.73,0.56,0.61,0.85,0.76,0.85,0.95,0.97,0.96,0.04,0.02,0.26,0.31,0.28,0.19,0.12,0.14,0.07,0.11,0.24,0.19,0.06,0.13,0.45,0.23,0.06,0.09,0.29,0.22,0.04,0.07,0.44,0.48,0.40,0.41,0.01,0.03,0.94,0.77,0.90,0.70,0.43,0.28,0.18,0.12,0.07,0.03,0.05,0.01,13767.00,18561.00,61087.00,42761.00,25569.00,20362.00,4.38,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.75,3.00,5.00,4.00,3.00
"Chula Vista city, CA",267636.00,84514.00,0.32,0.72,0.65,0.59,0.78,0.73,0.90,0.91,0.96,0.97,0.05,0.05,0.26,0.40,0.25,0.22,0.14,0.16,0.06,0.12,0.11,0.14,0.03,0.05,0.33,0.29,0.08,0.11,0.08,0.13,0.02,0.04,0.62,0.52,0.52,0.57,0.02,0.05,0.94,0.88,0.92,0.71,0.30,0.25,0.10,0.07,0.10,0.07,0.16,0.07,18776.00,16800.00,61509.00,48870.00,29724.00,25351.00,4.33,2.00,4.67,4.00,5.00,5.00,5.00,4.00,5.00,4.00,5.00,2.00,4.00,5.00
"Cincinnati city, OH",301926.00,17828.00,0.06,0.76,0.60,0.59,0.81,0.78,0.90,0.93,0.98,0.97,0.05,0.04,0.26,0.39,0.31,0.20,0.15,0.17,0.06,0.06,0.31,0.35,0.07,0.15,0.43,0.18,0.07,0.05,0.26,0.17,0.04,0.05,0.39,0.32,0.38,0.29,0.01,0.03,0.94,0.72,0.88,0.81,0.34,0.45,0.14,0.26,0.05,0.01,0.06,0.02,15272.00,14136.00,50000.00,40257.00,20362.00,15128.00,3.88,14.00,4.50,5.00,4.00,4.00,5.00,4.00,5.00,3.25,3.00,4.00,4.00,2.00
