city, pop_tot , pop_fb ,pop_fb_share,natrate,lsnblaborforceparticrate,lsfblaborforceparticrate,hsnblaborforceparticrate,hsfblaborforceparticrate,lsnbemplrate,lsfbemplrate,hsnbemplrate,hsfbemplrate,lsnbhighprestigerate,lsfbhighprestigerate,hsnbhighprestigerate,hsfbhighprestigerate,lsnbparttimerate,lsfbparttimerate,hsnbparttimerate,hsfbparttimerate,nbentrepreneurshiprate,fbentrepreneurshiprate,lsnbpovertyrate,lsfbpovertyrate,hsnbpovertyrate,hsfbpovertyrate,lsnbtrirecipient,lsfbtrirecipient,hsnbtrirecipient,hsfbtrirecipient,lsnbfoodstamprecipient,lsfbfoodstamprecipient,hsnbfoodstamprecipient,hsfbfoodstamprecipient,nbownershiprate,fbownershiprate,nboverburdenrate,fboverburdenrate,nbovercrowdedrate,fbovercrowdedrate,nbhealthinsu,fbhealthinsu,nbhs,fbhs,nbba,fbba,nbadv,fbadv,nbpubsoc,fbpubsoc,nbmilitaryvet,fbmilitaryvet, lsnbmediantotinc , lsfbmediantotinc , hsnbmediantotinc , hsfbmediantotinc , nbmedianbusinessincome , fbmedianbusinessincome , overall_score , overall_ranking , policy_score ,gov_leadership,econ_empower,Inclusivity,Community,legal_support,emergency_management,se_score,job_opps,econ_prosperity,Livability,civic_particip
"Albuquerque city, NM"," 557,473 "," 53,833 ",9.7%,69.2%,58.2%,64.7%,70.8%,71.7%,93.0%,95.0%,96.7%,94.3%,5.8%,2.5%,33.4%,40.7%,25.7%,23.8%,16.9%,18.0%,8.3%,12.1%,19.4%,25.9%,6.3%,11.3%,38.2%,27.4%,9.4%,11.5%,20.3%,26.0%,6.3%,10.7%,61.4%,54.9%,42.5%,41.2%,0.8%,1.7%,94.2%,73.0%,92.5%,67.8%,36.5%,27.3%,16.1%,15.2%,8.3%,3.9%,12.2%,2.4%," $17,046 "," $15,272 "," $49,748 "," $37,769 "," $21,307 "," $19,177 ", 3.54 , 21 , 4.33 ,5,5,4,5,2,5,2.75,2,3,3,3
"Anaheim city, CA"," 349,956 "," 125,021 ",35.7%,73.6%,62.5%,64.6%,78.7%,72.1%,93.7%,96.2%,95.9%,96.5%,4.8%,1.9%,25.5%,35.9%,27.4%,17.6%,17.6%,14.0%,7.4%,10.5%,14.2%,15.8%,5.2%,8.7%,40.2%,26.8%,8.4%,13.6%,10.2%,14.9%,2.9%,5.4%,52.3%,39.6%,51.0%,53.8%,2.6%,8.7%,93.5%,78.6%,91.3%,64.2%,30.3%,22.9%,9.1%,6.2%,4.3%,2.7%,6.0%,1.2%," $17,482 "," $17,898 "," $53,268 "," $45,785 "," $26,978 "," $20,362 ", 3.67 , 17 , 3.83 ,3,4,4,3,4,5,3.5,5,3,2,4
"Anchorage municipality, AK"," 293,597 "," 31,854 ",10.8%,82.7%,68.8%,69.0%,77.1%,76.2%,90.8%,95.2%,98.6%,99.3%,5.8%,5.3%,35.0%,24.8%,21.8%,26.1%,13.2%,12.8%,7.8%,8.5%,11.6%,17.3%,3.9%,2.7%,27.6%,25.6%,4.8%,5.2%,11.9%,17.2%,1.8%,0.9%,61.7%,64.1%,40.3%,42.7%,1.4%,6.3%,89.4%,85.8%,95.3%,81.8%,38.0%,27.6%,15.0%,8.0%,12.7%,7.8%,18.7%,7.2%," $25,453 "," $25,453 "," $68,183 "," $46,617 "," $34,417 "," $32,373 ", 2.96 , 50 , 2.17 ,1,2,1,3,2,4,3.75,2,3,5,5
"Arlington city, TX"," 401,886 "," 82,554 ",20.5%,78.5%,65.1%,69.0%,79.2%,74.8%,94.4%,96.6%,97.9%,95.4%,4.1%,2.8%,26.6%,31.1%,22.6%,16.4%,12.0%,16.3%,7.2%,11.1%,13.0%,20.2%,3.9%,15.0%,24.3%,10.5%,3.4%,4.7%,13.2%,15.6%,3.0%,10.6%,57.2%,51.4%,36.9%,45.7%,0.5%,2.9%,87.3%,62.0%,92.4%,64.8%,30.9%,24.3%,10.2%,7.6%,5.2%,2.0%,9.1%,1.8%," $20,500 "," $18,326 "," $55,000 "," $32,373 "," $26,073 "," $23,417 ", 1.71 , 98 , 1.67 ,1,1,2,1,3,2,1.75,2,1,1,3
"Atlanta city, GA"," 476,419 "," 38,177 ",8.0%,71.4%,53.0%,58.3%,82.8%,79.0%,88.2%,92.2%,97.8%,97.3%,3.8%,5.0%,27.7%,38.0%,28.5%,18.8%,11.0%,12.3%,9.6%,10.1%,29.4%,26.3%,6.1%,13.2%,31.9%,7.1%,3.0%,2.1%,25.5%,12.4%,3.3%,1.9%,43.2%,38.7%,38.9%,37.4%,0.7%,2.6%,89.1%,81.9%,91.5%,89.1%,50.2%,63.8%,21.4%,34.6%,6.1%,3.9%,6.1%,1.5%," $12,000 "," $12,515 "," $61,291 "," $53,268 "," $30,896 "," $21,582 ", 4.08 , 8 , 3.67 ,3,3,2,4,5,5,4.5,4,5,5,4
"Aurora city, CO"," 362,547 "," 71,125 ",19.6%,71.1%,68.0%,71.3%,77.0%,76.2%,93.5%,95.9%,97.4%,98.2%,5.0%,2.3%,24.9%,29.9%,20.6%,16.7%,14.9%,15.8%,7.6%,10.6%,10.4%,16.8%,3.8%,11.6%,33.0%,23.3%,7.0%,15.1%,9.9%,14.5%,3.3%,9.8%,64.1%,49.4%,45.4%,56.6%,0.9%,3.4%,93.4%,68.8%,94.3%,67.2%,32.5%,20.8%,10.4%,7.7%,5.5%,1.6%,11.6%,2.3%," $24,930 "," $21,582 "," $50,906 "," $37,546 "," $22,945 "," $29,830 ", 3.25 , 36 , 4.50 ,5,4,5,5,3,5,2,4,1,1,2
"Austin city, TX"," 947,038 "," 173,872 ",18.4%,66.9%,64.5%,70.5%,82.9%,78.4%,94.1%,96.5%,97.7%,96.8%,6.2%,1.8%,25.4%,32.7%,24.7%,17.4%,12.6%,14.3%,11.3%,11.1%,17.1%,20.0%,4.9%,7.9%,21.4%,14.3%,2.2%,2.8%,11.3%,19.1%,1.6%,3.6%,48.0%,39.0%,37.6%,41.2%,1.1%,4.2%,90.2%,69.2%,94.4%,72.7%,54.8%,40.2%,18.7%,20.2%,7.6%,3.3%,6.7%,1.5%," $19,816 "," $18,530 "," $56,006 "," $50,140 "," $30,755 "," $26,000 ", 2.92 , 54 , 3.33 ,4,2,3,3,5,3,2.5,2,3,2,3
"Bakersfield city, CA"," 371,375 "," 74,748 ",20.1%,58.8%,58.5%,63.3%,75.7%,72.5%,89.0%,91.8%,97.2%,96.4%,4.4%,1.2%,28.7%,39.3%,24.3%,13.7%,13.0%,10.4%,7.9%,13.0%,19.8%,21.5%,3.8%,6.1%,47.1%,43.3%,8.9%,15.8%,18.9%,21.5%,3.5%,6.2%,59.0%,54.2%,42.9%,43.4%,1.9%,4.3%,94.6%,81.9%,87.4%,53.4%,20.7%,15.5%,7.3%,5.1%,7.4%,2.8%,7.4%,1.2%," $14,661 "," $16,187 "," $62,000 "," $50,000 "," $25,030 "," $30,544 ", 2.79 , 61 , 2.33 ,1,3,4,1,3,2,3.25,5,4,3,1
"Baltimore city, MD"," 609,040 "," 48,727 ",8.0%,69.3%,52.8%,62.9%,81.7%,76.8%,88.0%,93.8%,97.6%,97.2%,4.3%,3.4%,30.4%,40.2%,23.2%,21.3%,12.2%,13.2%,5.9%,7.4%,25.6%,21.3%,7.3%,12.1%,45.4%,25.6%,8.1%,7.5%,31.5%,23.0%,6.9%,4.5%,47.5%,42.2%,40.3%,39.2%,0.5%,2.4%,94.4%,78.3%,85.3%,80.3%,30.1%,42.8%,14.1%,23.9%,10.1%,5.0%,7.6%,2.1%," $15,272 "," $18,043 "," $55,800 "," $45,368 "," $25,899 "," $26,471 ", 4.25 , 5 , 4.00 ,5,4,4,3,5,3,4.5,5,5,5,3
"Baton Rouge city, LA"," 225,102 "," 12,742 ",5.7%,65.4%,60.7%,64.9%,74.6%,74.1%,89.9%,96.2%,97.5%,99.1%,3.7%,2.1%,30.9%,46.1%,26.6%,22.0%,13.3%,27.8%,7.8%,15.3%,24.1%,25.3%,6.1%,6.4%,34.1%,14.5%,6.5%,5.3%,21.8%,9.7%,5.8%,3.9%,54.6%,46.4%,46.1%,26.7%,0.6%,2.1%,91.8%,66.0%,90.4%,80.3%,34.1%,38.6%,12.5%,19.8%,7.7%,2.8%,7.5%,2.0%," $14,300 "," $15,644 "," $49,643 "," $30,245 "," $26,634 "," $25,000 ", 2.38 , 85 , 1.00 ,1,1,1,1,1,1,3.75,5,5,4,1
