city, pop_tot , pop_fb ,pop_fb_share,natrate,lsnblaborforceparticrate,lsfblaborforceparticrate,hsnblaborforceparticrate,hsfblaborforceparticrate,lsnbemplrate,lsfbemplrate,hsnbemplrate,hsfbemplrate,lsnbhighprestigerate,lsfbhighprestigerate,hsnbhighprestigerate,hsfbhighprestigerate,lsnbparttimerate,lsfbparttimerate,hsnbparttimerate,hsfbparttimerate,nbentrepreneurshiprate,fbentrepreneurshiprate,lsnbpovertyrate,lsfbpovertyrate,hsnbpovertyrate,hsfbpovertyrate,lsnbtrirecipient,lsfbtrirecipient,hsnbtrirecipient,hsfbtrirecipient,lsnbfoodstamprecipient,lsfbfoodstamprecipient,hsnbfoodstamprecipient,hsfbfoodstamprecipient,nbownershiprate,fbownershiprate,nboverburdenrate,fboverburdenrate,nbovercrowdedrate,fbovercrowdedrate,nbhealthinsu,fbhealthinsu,nbhs,fbhs,nbba,fbba,nbadv,fbadv,nbpubsoc,fbpubsoc,nbmilitaryvet,fbmilitaryvet, lsnbmediantotinc , lsfbmediantotinc , hsnbmediantotinc , hsfbmediantotinc , nbmedianbusinessincome , fbmedianbusinessincome , overall_score , overall_ranking , policy_score ,gov_leadership,econ_empower,Inclusivity,Community,legal_support,emergency_management,se_score,job_opps,econ_prosperity,Livability,civic_particip
"Albuquerque city, NM",557473,53833,0.1,0.69,0.58,0.65,0.71,0.72,0.93,0.95,0.97,0.94,0.06,0.03,0.33,0.41,0.26,0.24,0.17,0.18,0.08,0.12,0.19,0.26,0.06,0.11,0.38,0.27,0.09,0.12,0.2,0.26,0.06,0.11,0.61,0.55,0.43,0.41,0.01,0.02,0.94,0.73,0.93,0.68,0.37,0.27,0.16,0.15,0.08,0.04,0.12,0.02,17046,15272,49748,37769,21307,19177,3.54,21,4.33,5,5,4,5,2,5,2.75,2,3,3,3
"Anaheim city, CA",349956,125021,0.36,0.74,0.63,0.65,0.79,0.72,0.94,0.96,0.96,0.97,0.05,0.02,0.26,0.36,0.27,0.18,0.18,0.14,0.07,0.11,0.14,0.16,0.05,0.09,0.4,0.27,0.08,0.14,0.1,0.15,0.03,0.05,0.52,0.4,0.51,0.54,0.03,0.09,0.94,0.79,0.91,0.64,0.3,0.23,0.09,0.06,0.04,0.03,0.06,0.01,17482,17898,53268,45785,26978,20362,3.67,17,3.83,3,4,4,3,4,5,3.5,5,3,2,4
"Anchorage municipality, AK",293597,31854,0.11,0.83,0.69,0.69,0.77,0.76,0.91,0.95,0.99,0.99,0.06,0.05,0.35,0.25,0.22,0.26,0.13,0.13,0.08,0.09,0.12,0.17,0.04,0.03,0.28,0.26,0.05,0.05,0.12,0.17,0.02,0.01,0.62,0.64,0.4,0.43,0.01,0.06,0.89,0.86,0.95,0.82,0.38,0.28,0.15,0.08,0.13,0.08,0.19,0.07,25453,25453,68183,46617,34417,32373,2.96,50,2.17,1,2,1,3,2,4,3.75,2,3,5,5
"Arlington city, TX",401886,82554,0.21,0.79,0.65,0.69,0.79,0.75,0.94,0.97,0.98,0.95,0.04,0.03,0.27,0.31,0.23,0.16,0.12,0.16,0.07,0.11,0.13,0.2,0.04,0.15,0.24,0.11,0.03,0.05,0.13,0.16,0.03,0.11,0.57,0.51,0.37,0.46,0.01,0.03,0.87,0.62,0.92,0.65,0.31,0.24,0.1,0.08,0.05,0.02,0.09,0.02,20500,18326,55000,32373,26073,23417,1.71,98,1.67,1,1,2,1,3,2,1.75,2,1,1,3
"Atlanta city, GA",476419,38177,0.08,0.71,0.53,0.58,0.83,0.79,0.88,0.92,0.98,0.97,0.04,0.05,0.28,0.38,0.29,0.19,0.11,0.12,0.1,0.1,0.29,0.26,0.06,0.13,0.32,0.07,0.03,0.02,0.26,0.12,0.03,0.02,0.43,0.39,0.39,0.37,0.01,0.03,0.89,0.82,0.92,0.89,0.5,0.64,0.21,0.35,0.06,0.04,0.06,0.02,12000,12515,61291,53268,30896,21582,4.08,8,3.67,3,3,2,4,5,5,4.5,4,5,5,4
"Aurora city, CO",362547,71125,0.2,0.71,0.68,0.71,0.77,0.76,0.94,0.96,0.97,0.98,0.05,0.02,0.25,0.3,0.21,0.17,0.15,0.16,0.08,0.11,0.1,0.17,0.04,0.12,0.33,0.23,0.07,0.15,0.1,0.15,0.03,0.1,0.64,0.49,0.45,0.57,0.01,0.03,0.93,0.69,0.94,0.67,0.33,0.21,0.1,0.08,0.06,0.02,0.12,0.02,24930,21582,50906,37546,22945,29830,3.25,36,4.5,5,4,5,5,3,5,2,4,1,1,2
"Austin city, TX",947038,173872,0.18,0.67,0.65,0.71,0.83,0.78,0.94,0.97,0.98,0.97,0.06,0.02,0.25,0.33,0.25,0.17,0.13,0.14,0.11,0.11,0.17,0.2,0.05,0.08,0.21,0.14,0.02,0.03,0.11,0.19,0.02,0.04,0.48,0.39,0.38,0.41,0.01,0.04,0.9,0.69,0.94,0.73,0.55,0.4,0.19,0.2,0.08,0.03,0.07,0.02,19816,18530,56006,50140,30755,26000,2.92,54,3.33,4,2,3,3,5,3,2.5,2,3,2,3
"Bakersfield city, CA",371375,74748,0.2,0.59,0.59,0.63,0.76,0.73,0.89,0.92,0.97,0.96,0.04,0.01,0.29,0.39,0.24,0.14,0.13,0.1,0.08,0.13,0.2,0.22,0.04,0.06,0.47,0.43,0.09,0.16,0.19,0.22,0.04,0.06,0.59,0.54,0.43,0.43,0.02,0.04,0.95,0.82,0.87,0.53,0.21,0.16,0.07,0.05,0.07,0.03,0.07,0.01,14661,16187,62000,50000,25030,30544,2.79,61,2.33,1,3,4,1,3,2,3.25,5,4,3,1
"Baltimore city, MD",609040,48727,0.08,0.69,0.53,0.63,0.82,0.77,0.88,0.94,0.98,0.97,0.04,0.03,0.3,0.4,0.23,0.21,0.12,0.13,0.06,0.07,0.26,0.21,0.07,0.12,0.45,0.26,0.08,0.08,0.32,0.23,0.07,0.05,0.48,0.42,0.4,0.39,0.01,0.02,0.94,0.78,0.85,0.8,0.3,0.43,0.14,0.24,0.1,0.05,0.08,0.02,15272,18043,55800,45368,25899,26471,4.25,5,4,5,4,4,3,5,3,4.5,5,5,5,3
"Baton Rouge city, LA",225102,12742,0.06,0.65,0.61,0.65,0.75,0.74,0.9,0.96,0.98,0.99,0.04,0.02,0.31,0.46,0.27,0.22,0.13,0.28,0.08,0.15,0.24,0.25,0.06,0.06,0.34,0.15,0.07,0.05,0.22,0.1,0.06,0.04,0.55,0.46,0.46,0.27,0.01,0.02,0.92,0.66,0.9,0.8,0.34,0.39,0.13,0.2,0.08,0.03,0.08,0.02,14300,15644,49643,30245,26634,25000,2.38,85,1,1,1,1,1,1,1,3.75,5,5,4,1
